PEGASUS_TIMESERIES_FILE_003
ObjectKey,B04
VariableKey,Pump B commanded flow rate (mL/h)
2025-07-23T20:17:21.2909453,0
2025-07-23T20:19:29.2509622,0
2025-07-23T20:20:07.4303518,100
2025-07-23T20:23:40.2438273,100
2025-07-23T20:24:04.2586634,0
2025-07-23T20:30:17.3902457,100
2025-07-23T20:30:17.6262591,100
2025-07-23T20:30:53.0923136,0
2025-07-23T20:31:07.3564399,100
2025-07-23T20:37:41.3304651,100
2025-07-23T20:38:05.4101544,0
2025-07-23T20:38:18.7498022,5
2025-07-23T21:11:54.4808621,5
2025-07-23T21:11:58.9616208,0
2025-07-23T21:16:21.9568785,0
2025-07-23T21:25:00.6281166,0,Pumping set to zero%%%COMMA%%% pumping disabled on bioreactor
2025-07-23T21:25:00.7841017,0,Pumping set to zero%%%COMMA%%% pumping disabled on bioreactor
2025-07-23T21:26:23.6795644,5
2025-07-23T21:52:15.0907243,5
2025-07-23T21:52:51.1243563,0
2025-07-23T22:04:08.5566214,100
2025-07-23T22:04:08.7174336,100
2025-07-23T22:04:42.7808386,0
2025-07-23T22:04:56.3946232,50
2025-07-23T22:17:31.7711988,50
2025-07-23T22:17:56.2908232,0
2025-07-23T22:29:10.1005706,100
2025-07-23T22:29:10.2124980,100
2025-07-23T22:29:45.1573284,0
2025-07-23T22:29:58.1307836,100
2025-07-23T23:19:39.2697629,100
2025-07-23T23:20:03.2717626,0
2025-07-23T23:20:27.9502387,0
2025-07-24T00:42:09.7597448,100
2025-07-24T00:49:54.4994186,100
2025-07-24T00:50:09.0275241,0
2025-07-24T00:56:41.2650152,0
2025-07-24T00:56:51.4659252,100
2025-07-24T00:56:51.5810868,100
2025-07-24T00:57:01.1828158,0
2025-07-24T18:14:26.9884414,0
2025-07-24T18:14:34.7033847,100
2025-07-24T18:14:34.7995540,100
2025-07-24T18:14:38.6795997,0
2025-07-24T18:20:05.1859629,0,Value from control loop
2025-07-25T05:53:01.5659320,0.649999809265145,Value from control loop
2025-07-25T05:53:13.8392919,0,Value from control loop
2025-07-25T06:03:22.4301167,1.30000038146973,Value from control loop
2025-07-25T06:03:34.5686733,0.399994087219246,Value from control loop
2025-07-25T06:03:46.7311898,0,Value from control loop
2025-07-25T06:07:25.8639302,0.799988937377938,Value from control loop
2025-07-25T06:07:38.0333173,0,Value from control loop
2025-07-25T06:11:53.3246045,0.999998283386239,Value from control loop
2025-07-25T06:12:05.4545632,1.15001125335694,Value from control loop
2025-07-25T06:12:17.6132632,0,Value from control loop
2025-07-25T06:13:42.7881819,0.0499956130981527,Value from control loop
2025-07-25T06:13:54.9311940,0,Value from control loop
2025-07-25T06:16:20.5751112,1.34999675750733,Value from control loop
2025-07-25T06:16:32.7510921,1.15001125335694,Value from control loop
2025-07-25T06:16:44.8542711,0,Value from control loop
2025-07-25T06:17:09.1694756,0.349997711181649,Value from control loop
2025-07-25T06:17:21.3242738,0.250004959106453,Value from control loop
2025-07-25T06:17:33.4692426,0,Value from control loop
2025-07-25T06:17:45.5734236,0.0499956130981527,Value from control loop
2025-07-25T06:17:57.7557240,0,Value from control loop
2025-07-25T06:18:09.9116679,0.0499956130981527,Value from control loop
2025-07-25T06:18:46.4171041,0.149988365173348,Value from control loop
2025-07-25T06:18:58.5735980,0.0499956130981527,Value from control loop
2025-07-25T06:19:22.9089720,0.0999919891357504,Value from control loop
2025-07-25T06:19:59.4800776,0.0499956130981527,Value from control loop
2025-07-25T06:20:11.6601597,0.149988365173348,Value from control loop
2025-07-25T06:20:48.2183405,0.200008583068856,Value from control loop
2025-07-25T06:21:00.4045137,0.149988365173348,Value from control loop
2025-07-25T06:21:24.8429764,2.20000667572022,Value from control loop
2025-07-25T06:21:37.1097206,0.900005531311043,Value from control loop
2025-07-25T06:21:49.3367447,0.699996185302743,Value from control loop
2025-07-25T06:22:01.4276405,0,Value from control loop
2025-07-25T06:24:27.4550604,0.799988937377938,Value from control loop
2025-07-25T06:24:39.6358102,0,Value from control loop
2025-07-25T06:27:05.3571743,0.799988937377938,Value from control loop
2025-07-25T06:27:17.5123630,0,Value from control loop
2025-07-25T06:33:46.9540714,0.74999256134034,Value from control loop
2025-07-25T06:33:59.0856000,0,Value from control loop
2025-07-25T06:36:49.2926571,1.80001182556153,Value from control loop
2025-07-25T06:37:01.3942088,0,Value from control loop
2025-07-25T06:40:03.7093545,1.25000400543214,Value from control loop
2025-07-25T06:40:15.8738807,0.699996185302743,Value from control loop
2025-07-25T06:40:28.0313957,0,Value from control loop
2025-07-25T06:44:07.0005958,1.60000247955323,Value from control loop
2025-07-25T06:44:19.1927961,0.300001335144051,Value from control loop
2025-07-25T06:44:31.2987664,0,Value from control loop
2025-07-25T06:48:22.1873378,0.699996185302743,Value from control loop
2025-07-25T06:48:34.3188914,0.399994087219246,Value from control loop
2025-07-25T06:48:46.4484572,0,Value from control loop
2025-07-25T06:54:39.2830970,1.34999675750733,Value from control loop
2025-07-25T06:54:51.4473419,0,Value from control loop
2025-07-25T06:57:05.2624555,0.950001907348641,Value from control loop
2025-07-25T06:57:17.4385518,0.55000705718995,Value from control loop
2025-07-25T06:57:29.6193467,0,Value from control loop
2025-07-25T07:01:57.1726844,0.900005531311043,Value from control loop
2025-07-25T07:02:09.3942562,0,Value from control loop
2025-07-25T07:03:58.7703132,0.950001907348641,Value from control loop
2025-07-25T07:04:10.9935171,0,Value from control loop
2025-07-25T07:06:36.7615439,0.850009155273446,Value from control loop
2025-07-25T07:06:48.8606481,0.0999919891357504,Value from control loop
2025-07-25T07:07:13.1086253,0,Value from control loop
2025-07-25T07:09:14.8962311,0.900005531311043,Value from control loop
