PEGASUS_TIMESERIES_FILE_003
ObjectKey,B04
VariableKey,Pump A CIP start volume (mL)
2025-07-23T20:20:04.1531902,NaN
2025-07-23T20:20:07.3979702,0
2025-07-23T20:20:07.5257489,0
2025-07-23T20:20:17.5251396,0.218512463
2025-07-23T20:20:28.8975684,0.546271419
2025-07-23T20:20:40.4288970,0.874030375
2025-07-23T20:20:52.2104857,1.201808808
2025-07-23T20:21:04.3563391,1.529587241
2025-07-23T20:21:16.4655848,1.857385151
2025-07-23T20:21:28.8606293,2.185183061
2025-07-23T20:21:40.9382805,2.512961494
2025-07-23T20:21:52.7346725,2.840759404
2025-07-23T20:22:04.9557189,3.16851836
2025-07-23T20:22:16.2334145,3.496296793
2025-07-23T20:22:28.4339099,3.824094703
2025-07-23T20:22:40.3709271,4.151892613
2025-07-23T20:22:52.4480518,4.479671046
2025-07-23T20:23:04.3004721,4.807430002
2025-07-23T20:23:16.2068935,5.135227912
2025-07-23T20:23:28.2959111,5.463025822
2025-07-23T20:23:40.2268207,5.790804255
2025-07-23T20:23:52.2397133,NaN
2025-07-23T20:24:04.2436644,6.1001964
2025-07-23T20:24:04.2436644,NaN
2025-07-23T20:30:04.4506400,NaN
2025-07-23T20:30:17.3512342,0
2025-07-23T20:30:17.5501897,0
2025-07-23T20:30:29.2332514,0.307171767
2025-07-23T20:30:41.0592453,0.625309085
2025-07-23T20:30:53.0732842,NaN
2025-07-23T20:30:55.0271091,NaN
2025-07-23T20:31:07.3244358,0
2025-07-23T20:31:07.4523715,0
2025-07-23T20:31:17.2745036,0.263854919
2025-07-23T20:31:29.1592416,0.585186465
2025-07-23T20:31:41.0840458,0.908816297
2025-07-23T20:31:53.1645741,1.194095916
2025-07-23T20:32:05.0849389,1.521854872
2025-07-23T20:32:17.0836856,1.849613828
2025-07-23T20:32:29.0996832,2.177392261
2025-07-23T20:32:41.2743211,2.505170694
2025-07-23T20:32:53.2744317,2.83292965
2025-07-23T20:33:05.1228044,3.16072756
2025-07-23T20:33:17.1291085,3.48852547
2025-07-23T20:33:29.1295087,3.81632338
2025-07-23T20:33:41.3110037,4.14412129
2025-07-23T20:33:53.1488146,4.4719192
2025-07-23T20:34:05.2465857,4.79971711
2025-07-23T20:34:17.2687701,5.127495543
2025-07-23T20:34:29.3445313,5.455254499
2025-07-23T20:34:41.3559711,5.783032932
2025-07-23T20:34:53.1974194,6.110830842
2025-07-23T20:35:05.3209385,6.438628752
2025-07-23T20:35:17.3010277,6.766426662
2025-07-23T20:35:29.2493077,7.094224572
2025-07-23T20:35:41.1791891,7.422022482
2025-07-23T20:35:53.1861155,7.749820392
2025-07-23T20:36:05.1904667,8.077579348
2025-07-23T20:36:17.2701524,8.405357781
2025-07-23T20:36:29.1926866,8.733155691
2025-07-23T20:36:41.2837508,9.060953601
2025-07-23T20:36:53.3674611,9.388732034
2025-07-23T20:37:05.3682643,9.716510467
2025-07-23T20:37:17.2982415,10.044269423
2025-07-23T20:37:29.4208745,10.372067333
2025-07-23T20:37:41.3184649,10.699865243
2025-07-23T20:37:53.3539213,11.027643676
2025-07-23T20:38:05.3976775,NaN
2025-07-23T20:38:16.8097599,NaN
2025-07-23T20:38:18.7172052,0
2025-07-23T20:38:18.8442877,0
2025-07-23T20:38:29.3316954,0.014529842
2025-07-23T20:38:41.3057657,0.031124246
2025-07-23T20:38:53.4770001,0.04732911
2025-07-23T20:39:05.3142426,0.063787175
2025-07-23T20:39:17.4591099,0.080654257
2025-07-23T20:39:29.4147608,0.097229184
2025-07-23T20:39:41.4252531,0.113920973
2025-07-23T20:39:53.4311557,0.130554331
2025-07-23T20:40:05.4288980,0.145941161
2025-07-23T20:40:17.3468938,0.162321318
2025-07-23T20:40:29.3452991,0.17899363
2025-07-23T20:40:41.5350779,0.195899666
2025-07-23T20:40:53.4644255,0.212455116
2025-07-23T20:41:05.3934079,0.229030043
2025-07-23T20:41:17.5668212,0.245936079
2025-07-23T20:41:29.5920935,0.264030212
2025-07-23T20:41:41.4256941,0.280488277
2025-07-23T20:41:54.1503924,0.298173393
2025-07-23T20:42:06.0861665,0.31474832
2025-07-23T20:42:18.1656178,0.331518017
2025-07-23T20:42:30.0853639,0.348073467
2025-07-23T20:42:42.1828160,0.364434147
2025-07-23T20:42:54.2000929,0.381632338
2025-07-23T20:43:06.0355511,0.398051449
2025-07-23T20:43:18.2105344,0.414957485
2025-07-23T20:43:30.1306837,0.431512935
2025-07-23T20:43:42.0532051,0.448068385
2025-07-23T20:43:54.0127916,0.464643312
2025-07-23T20:44:06.5246438,0.482036273
2025-07-23T20:44:18.6099919,0.498825447
2025-07-23T20:44:30.5526568,0.515380897
2025-07-23T20:44:42.5582909,0.532072686
2025-07-23T20:44:54.5455943,0.548725521
2025-07-23T20:45:06.6163778,0.565495218
2025-07-23T20:45:18.6542061,0.582927133
2025-07-23T20:45:30.7192553,0.598956704
2025-07-23T20:45:42.5675188,0.615414769
2025-07-23T20:45:54.5742838,0.632067604
2025-07-23T20:46:06.5959454,0.648739916
2025-07-23T20:46:18.7168819,0.665626475
2025-07-23T20:46:30.7220424,0.68227931
2025-07-23T20:46:42.6876085,0.69883476
2025-07-23T20:46:55.2347217,0.716286152
2025-07-23T20:47:07.2475291,0.732958464
2025-07-23T20:47:19.2638658,0.749650253
2025-07-23T20:47:31.1990091,0.76622518
2025-07-23T20:47:43.3530834,0.783092262
2025-07-23T20:47:55.3588773,0.8005047
2025-07-23T20:48:07.2133865,0.816164208
2025-07-23T20:48:19.2295116,0.83283652
2025-07-23T20:48:31.3834790,0.849723079
2025-07-23T20:48:43.3188472,0.866298006
2025-07-23T20:48:55.3993923,0.88308718
2025-07-23T20:49:07.3341577,0.89964263
2025-07-23T20:49:19.4297012,0.916490235
2025-07-23T20:49:31.3585537,0.933045685
2025-07-23T20:49:43.4498622,0.949834859
2025-07-23T20:49:55.3852293,0.966409786
2025-07-23T20:50:07.4638645,0.983179483
2025-07-23T20:50:19.4686037,0.999832318
2025-07-23T20:50:31.4746186,1.016524107
2025-07-23T20:50:43.4113950,1.033099034
2025-07-23T20:50:55.4960227,1.049868731
2025-07-23T20:51:07.4896071,1.066541043
2025-07-23T20:51:19.5047773,1.083213355
2025-07-23T20:51:31.4247247,1.099749328
2025-07-23T20:51:43.5202816,1.116557979
2025-07-23T20:51:55.4396693,1.133074475
2025-07-23T20:52:07.4388892,1.14972731
2025-07-23T20:52:19.4762380,1.166419099
2025-07-23T20:52:31.3895401,1.182994026
2025-07-23T20:52:43.4856287,1.1997832
2025-07-23T20:52:55.4096785,1.216319173
2025-07-23T20:53:07.4211905,1.233010962
2025-07-23T20:53:19.5162359,1.249858567
2025-07-23T20:53:31.4363511,1.266414017
2025-07-23T20:53:43.4508213,1.283086329
2025-07-23T20:53:55.4516480,1.299739164
2025-07-23T20:54:07.5461404,1.316528338
2025-07-23T20:54:19.4586671,1.333103265
2025-07-23T20:54:31.4756603,1.348684865
2025-07-23T20:54:43.5664651,1.36572724
2025-07-23T20:54:55.5629228,1.382399552
2025-07-23T20:55:07.5761742,1.399071864
2025-07-23T20:55:19.4963359,1.415627314
2025-07-23T20:55:31.5797927,1.432397011
2025-07-23T20:55:43.5752756,1.449069323
2025-07-23T20:55:55.5110262,1.466403853
2025-07-23T20:56:07.5103663,1.483056688
2025-07-23T20:56:19.5289414,1.499748477
2025-07-23T20:56:31.6097631,1.516498697
2025-07-23T20:56:43.5403731,1.533073624
2025-07-23T20:56:55.5607731,1.549765413
2025-07-23T20:57:07.5717007,1.56614557
2025-07-23T20:57:19.6517211,1.583265853
2025-07-23T20:57:31.5903876,1.59984078
2025-07-23T20:57:43.6030719,1.616532569
2025-07-23T20:57:55.6183707,1.633204881
2025-07-23T20:58:07.6979100,1.649974578
2025-07-23T20:58:19.6176575,1.666549505
2025-07-23T20:58:31.6381717,1.683221817
2025-07-23T20:58:43.7287139,1.700030468
2025-07-23T20:58:55.6652744,1.716585918
2025-07-23T20:59:07.6696572,1.733238753
2025-07-23T20:59:19.7593133,1.750027927
2025-07-23T20:59:32.1745314,1.767284549
2025-07-23T20:59:44.1972555,1.784638556
2025-07-23T20:59:56.7879506,1.801447207
2025-07-23T21:00:09.1173773,1.818586967
2025-07-23T21:00:21.1183081,1.835259279
2025-07-23T21:00:33.1218251,1.851912114
2025-07-23T21:00:45.2113318,1.868681811
2025-07-23T21:00:57.7228520,1.886055295
2025-07-23T21:01:09.6635119,1.902669176
2025-07-23T21:01:21.6786198,1.919360965
2025-07-23T21:01:33.6903889,1.936033277
2025-07-23T21:01:45.6957102,1.952705589
2025-07-23T21:01:57.7055740,1.969377901
2025-07-23T21:02:09.7071207,1.986050213
2025-07-23T21:02:21.7214044,2.003131542
2025-07-23T21:02:33.7059931,2.019355883
2025-07-23T21:02:45.7069018,2.036028195
2025-07-23T21:02:57.7352857,2.052700507
2025-07-23T21:03:09.7348606,2.069353342
2025-07-23T21:03:21.7342311,2.086045131
2025-07-23T21:03:33.7494148,2.102717443
2025-07-23T21:03:45.7492631,2.119389755
2025-07-23T21:03:57.7652678,2.136062067
